BOUND,CREATED_DT,DISTANCE,SPEED,STREET_NAME,multiline
E/W,2018/10/31,,80,178 AV SE,"MULTILINESTRING ((-113.859820813358 50.892359105076, -113.860315334494 50.892358653177, -113.860688100538 50.89235831107, -113.860759171009 50.892358245724, -113.860809855626 50.892358199183, -113.86130437533 50.892357743092, -113.86179889645 50.892357284908, -113.862293417564 50.89235682463, -113.862787938673 50.892356362257, -113.863282458355 50.892355897787, -113.863776979452 50.892355431224, -113.864245129136 50.892354987642, -113.864713278816 50.892354542183, -113.865153814771 50.89235412139, -113.865594350722 50.892353698934, -113.866263516079 50.892353054182, -113.866827065035 50.892352508115, -113.867095238046 50.892352247346, -113.867315911825 50.892352031776, -113.867719115593 50.892351732374, -113.868122317934 50.892351432477, -113.868525521697 50.89235113029, -113.868928724034 50.892350827608, -113.869331927792 50.892350522636, -113.869735130123 50.892350217169, -113.870138333875 50.892349909412, -113.870541536201 50.892349601159, -113.870944739947 50.892349290617, -113.87134794227 50.892348978681, -113.871708141423 50.892348656761, -113.872068340576 50.89234833283, -113.872428539724 50.892348008687, -113.872788740292 50.892347682535, -113.873148939434 50.89234735617, -113.873509138575 50.892347027794, -113.873869337712 50.892346698307, -113.874229536845 50.892346368607, -113.874524136551 50.892346097664, -113.874589735976 50.892346036897, -113.874949935102 50.892345704975, -113.875310134227 50.892345371042, -113.875670334768 50.892345036899, -113.876030533887 50.892344700743, -113.876390733003 50.892344363477, -113.876750932113 50.892344025998, -113.877111131222 50.892343686508, -113.877471330325 50.892343346807, -113.877831529428 50.892343005095, -113.878191728524 50.89234266317, -113.878551929042 50.892342319237, -113.878912128134 50.892341974191, -113.87927232722 50.892341628933, -113.879632526306 50.892341281664, -113.879992725385 50.892340934183, -113.880352924464 50.892340584692, -113.880713123539 50.892340234089, -113.881073322608 50.892339883274, -113.881433523097 50.89233953045, -113.881793722159 50.892339177412, -113.88215392122 50.892338822364, -113.882250869789 50.892338726902, -113.882307726117 50.892338670959, -113.882514120275 50.892338467104, -113.88281189108 50.892338172145, -113.882874319328 50.892338109833, -113.883729139798 50.892335052769, -113.883814424831 50.892334747511, -113.884416126344 50.892332592046, -113.885577226434 50.892328422743, -113.889073885851 50.89232640348, -113.891574898943 50.892330791059, -113.892060983232 50.892330375753, -113.892547067517 50.892329958424, -113.893022931878 50.892329547686, -113.893498796235 50.892329135008, -113.894102450767 50.89232860893, -113.894589866886 50.892328181606, -113.895171798063 50.892327658252, -113.895753730652 50.892327131998, -113.896335661811 50.892326602842, -113.896917594383 50.892326070787, -113.897481185109 50.892325552989, -113.898044775826 50.89232503247, -113.898608366533 50.892324510129, -113.899171957233 50.892323984169, -113.899558619718 50.892323621648, -113.899945280777 50.892323258744, -113.900331943254 50.892322893661, -113.900718604304 50.892322528196, -113.901105266773 50.892322160552, -113.901491927814 50.892321792526, -113.901878590275 50.892321422321, -113.902265251309 50.892321050834, -113.902651913759 50.892320678967, -113.903038574785 50.892320304919, -113.903410744562 50.892319944572, -113.903782914337 50.89231958214, -113.90415508553 50.892319218522, -113.904527255295 50.892318854616, -113.904899425057 50.892318488624, -113.905271594816 50.892318121446, -113.905391378177 50.892318003717, -113.905448234445 50.892317947293, -113.905643764568 50.89231775398, -113.906015934318 50.892317384429))"
E/W,,0.09,60,HERITAGE DR SE,"MULTILINESTRING ((-114.025669671203 50.987548603379, -114.025684533262 50.987537165059, -114.025755547685 50.987487856435, -114.025779460717 50.987473014359, -114.025814960755 50.987450979658, -114.025826926811 50.987444097103, -114.025874857918 50.987416525501, -114.025883349762 50.987411641248, -114.025949987187 50.987375625824, -114.026013995491 50.987345149577, -114.02607449801 50.987316335397, -114.026120972094 50.987296940262, -114.026174459578 50.987275328445, -114.026224760809 50.987256169743, -114.026289652256 50.987234001539, -114.026351911849 50.987212386768, -114.026407156064 50.987194650859, -114.026463279028 50.987176914726, -114.026550094309 50.987151971645, -114.026631649889 50.987132569228, -114.026691283594 50.98711981704, -114.026737509641 50.987110762709))"
E/W,,,60,COUNTRY HILLS BV NW,"MULTILINESTRING ((-114.25748006333 51.153972967915, -114.257428788135 51.153966784463, -114.257394603246 51.153962661553, -114.257368964944 51.153959569813, -114.257334780066 51.153955446885, -114.257292050051 51.153950293659, -114.257266411762 51.153947201896, -114.257240773476 51.153944110127, -114.257215135194 51.153941018353, -114.257180951773 51.153936895377, -114.257155313498 51.15393380359, -114.257129675227 51.153930711797, -114.257104036955 51.1539276191, -114.257078398691 51.153924527295, -114.25705276043 51.153921435486, -114.257027122173 51.15391834367, -114.256992937355 51.153914220643, -114.256967299106 51.153911128814, -114.256930093322 51.153906641135, -114.256890385803 51.153901852393, -114.256830562779 51.153894637466, -114.256770739773 51.15388742251, -114.256702371669 51.15387917719, -114.256642550132 51.153871962165, -114.256571580669 51.153865806262, -114.256495868808 51.153859726338, -114.256426698499 51.153854763815, -114.256356459509 51.153849636386, -114.256273673808 51.153842842766, -114.256205658546 51.153837109871, -114.256106262922 51.153829276458, -114.256030430243 51.153824072982, -114.255968176366 51.153820282573, -114.255891364655 51.153815354433, -114.255805280628 51.153809713869, -114.25573579168 51.153805780941, -114.255672603911 51.153801895329, -114.255605420583 51.153797433191, -114.255525818398 51.153792706882, -114.255448051081 51.153788402617, -114.255396943403 51.153785548549, -114.25534120973 51.15378158895, -114.255298063876 51.153779237956, -114.255253368959 51.15377774164, -114.255202369585 51.153776118824, -114.255085664576 51.153775400704, -114.254973782827 51.153776048259, -114.254900321725 51.153776542772, -114.25481909192 51.153778374732, -114.254730836626 51.153780231824, -114.254620764384 51.153783453313, -114.254522048949 51.153787982245, -114.254422942998 51.153793242797, -114.254255833601 51.153803972028, -114.254148717752 51.153812476118, -114.254007260433 51.153824719739, -114.25383701971 51.153840015587, -114.253703816619 51.15385111723, -114.253545454855 51.153863917451, -114.253434713787 51.153873740325, -114.253403427837 51.153876335974, -114.253373230544 51.153879350868, -114.253284351607 51.153886399703, -114.253193752506 51.153894134503, -114.253106794783 51.153901205114, -114.253042751909 51.153906916311, -114.252965787516 51.153913246932, -114.252926899554 51.153916318261, -114.252868583562 51.15392136074, -114.252816972481 51.153925783701, -114.25273996609 51.153932287762, -114.25262348849 51.153942652647, -114.25248087975 51.153954122905, -114.252401691793 51.153960073199, -114.252263026142 51.15397012242, -114.252211373778 51.153972761669, -114.252166738276 51.153975363295, -114.25210246097 51.153978752473, -114.252037606527 51.153981420996, -114.251932214475 51.153985594454, -114.2518294725 51.153988704936, -114.251708048025 51.153991847439, -114.251590944881 51.153993182606, -114.251495342349 51.153994092971, -114.251382826015 51.153994334823, -114.251279130691 51.153994575598, -114.251176374393 51.153994796286, -114.25104456811 51.153995079231, -114.250819744958 51.153994133965, -114.250567979971 51.153995048392, -114.250375917687 51.153995109944, -114.250123003717 51.153995285131, -114.249956698395 51.153994561863, -114.249765172597 51.153994970961, -114.249682508135 51.153995147435, -114.249558155581 51.153995027142, -114.249485820976 51.153994820058, -114.249371008983 51.153995064871, -114.249262510199 51.153994935637, -114.249178573405 51.153995086598, -114.249128669514 51.153995160528, -114.249104616806 51.153995220741, -114.249034137771 51.15399557577, -114.248951738885 51.15399516594, -114.24889126753 51.153995299116, -114.248836077838 51.15399541653, -114.248781199757 51.153995533256, -114.248713970616 51.153995239323, -114.248522177082 51.153995303553, -114.248466114036 51.153994894061, -114.248398659612 51.153995503879, -114.248274116863 51.15399483516, -114.24817917283 51.153995403408, -114.248065023521 51.153995276062, -114.247935771789 51.153996391512, -114.247665495629 51.153995706417, -114.247418111171 51.153996238015, -114.247321304719 51.153996297999, -114.247134442988 51.153996412453, -114.246791362387 51.153995866544, -114.246512977462 51.153996860764, -114.246248747047 51.153996567782, -114.246137424223 51.153996802077, -114.24593130889 51.15399599773, -114.245861942895 51.153999493062, -114.245754010091 51.15400311613, -114.245582962991 51.154003123863, -114.245431397823 51.154003441964, -114.245246375176 51.154005067884, -114.245018049816 51.15400678512, -114.24471097342 51.154006189153, -114.244323188569 51.154004524013, -114.243980689236 51.154005238874, -114.243691329032 51.154004604176, -114.243545675269 51.154006145384, -114.24339411515 51.1540076987, -114.24325238496 51.154006755649, -114.243051602765 51.154005935137, -114.24291184089 51.154004987583, -114.242777983935 51.154004027607, -114.242710016131 51.154005974657, -114.242638248038 51.154008031133, -114.242516213888 51.154009522064, -114.242360750966 51.154017272358, -114.242215147528 51.154028714728, -114.242091198255 51.154040113002, -114.241969222267 51.15405274403, -114.241861032271 51.154066585191, -114.241746961728 51.154085389866, -114.24159060297 51.15411026524, -114.241483049441 51.154120390243, -114.241357106316 51.154127252116, -114.241236455732 51.154135091794, -114.241173450424 51.154139185216, -114.240952696422 51.154151690675, -114.240683006848 51.154150979249, -114.240548744864 51.154150819425))"
S,2018/12/31,,100,STONEY TR SE,"MULTILINESTRING ((-113.920801833149 50.970880857636, -113.920859686831 50.970337706765, -113.921074159416 50.968263739401, -113.921204616569 50.966855713348, -113.921155008184 50.9655557053, -113.921140088462 50.965164701149, -113.921138839374 50.965085155346, -113.92113154381 50.964620744224, -113.921114587352 50.963541308647, -113.921093193267 50.962170960621, -113.921080609634 50.961364891321, -113.92101302137 50.959299550819, -113.920990577874 50.957782836103, -113.920979232801 50.957016096805, -113.920957597958 50.95486199192, -113.92088066117 50.953403278672, -113.920849661662 50.952815504033, -113.920844138122 50.952609335436, -113.920798882417 50.950919958224, -113.920773114208 50.949958023511, -113.920750515887 50.949114370672, -113.920732558347 50.947766613085, -113.920730483617 50.94761089698, -113.920728975463 50.94749775106, -113.920728293935 50.947446635008, -113.920705772031 50.946424550575, -113.9206414561 50.943505607638))"
W,,1.69,60,BERKSHIRE BV NW,"MULTILINESTRING ((-114.082259079838 51.137378173793, -114.082431898641 51.137214525153, -114.082632818775 51.137055033867, -114.082800281688 51.136939723698, -114.083108925145 51.136757059214, -114.083361701944 51.136618649053, -114.083605328897 51.136478325605, -114.083824604469 51.136359137454, -114.083989137353 51.136277898227, -114.084132225716 51.136207247755, -114.084360200846 51.136090602683, -114.084671459869 51.135930421427, -114.084784677369 51.135870864256, -114.085578374803 51.135453962806, -114.086321811393 51.135060887603, -114.086490236094 51.134972038565, -114.086899193411 51.134755952769, -114.087159116589 51.134621435917, -114.087607158084 51.134386057388, -114.088059956828 51.134126409729, -114.088677967136 51.133802307396, -114.089023555945 51.133621482497, -114.089153596767 51.133556975672, -114.08928495898 51.133494011206, -114.089695956246 51.133277190348, -114.090325223094 51.132946771613, -114.090890647184 51.132657480672, -114.091138757994 51.132544605662, -114.091430911537 51.132431467366, -114.091677649435 51.132354567762, -114.091999985596 51.132275119872, -114.092245423565 51.132232937926, -114.09243049711 51.132206964689, -114.092768157811 51.132174892145, -114.092931276121 51.132165052982, -114.093312927144 51.132154079352, -114.093558893464 51.132150138684, -114.094462736033 51.132150150218, -114.095228852054 51.132152053221, -114.096276252451 51.132153171632, -114.097895546542 51.132155227328, -114.098970983007 51.132156767394, -114.099471763052 51.132158238461, -114.099594811307 51.1321600737, -114.099755781202 51.132161076397, -114.101632414628 51.132154767244, -114.101854277777 51.132148500867, -114.102060058663 51.132140220948, -114.102246527739 51.132123857922, -114.10243300259 51.132109518152, -114.102703726783 51.132085618307, -114.103256674373 51.132024377019, -114.103389510881 51.132009615607))"
S,,0.2,60,CASTLERIDGE BV NE,"MULTILINESTRING ((-113.96540369791 51.11056052741, -113.965403612309 51.110302195033, -113.965399481394 51.11014849807, -113.965399560918 51.11004582211, -113.965401239898 51.109973722158, -113.965404129672 51.1099191074, -113.965405781111 51.109889620096, -113.965415223961 51.10978757977, -113.965420957996 51.109741170688, -113.965426277752 51.109704505347, -113.965438538885 51.109633931363, -113.965447939848 51.109585985236, -113.965469151183 51.109508800219, -113.965482617266 51.109467264897, -113.965503421542 51.109411117292, -113.965571463104 51.109268097892, -113.965595512181 51.109228618005, -113.965630116433 51.109174943886, -113.96566557679 51.109122133912, -113.965672572288 51.109113150827, -113.965713496048 51.109060595949, -113.965757094633 51.109011634098, -113.965790099422 51.108974976839, -113.965810797169 51.108948216257, -113.965824246898 51.10892822005, -113.965839737153 51.108902583443, -113.965854004993 51.108876946477, -113.96586946775 51.108844006678, -113.965882513643 51.108819651274, -113.965889715319 51.108802053469))"
N/A,2018/12/06,,80,STONEY TR SE RAMP,"MULTILINESTRING ((-113.907967589808 50.906742143612, -113.907582498329 50.906733281904, -113.907232742432 50.906725232727, -113.907226099887 50.906725080014, -113.906968873363 50.906719159534, -113.906912002281 50.906717850219, -113.90678406084 50.906714905523, -113.905490226273 50.906685114642, -113.905419137527 50.906683476645, -113.904828704442 50.906669876935, -113.902187811676 50.906667694438, -113.899987021853 50.906687236889, -113.896826761984 50.906734085548, -113.896804297553 50.906734418101, -113.886829834415 50.906727554948, -113.883863626035 50.906842903211, -113.883778307 50.906846219214, -113.883488883406 50.906857470262, -113.882914472358 50.907132616522))"
W,2018/10/28,22.09,100,STONEY TR NE,"MULTILINESTRING ((-113.914447719808 51.175203162939, -113.914547128927 51.175302358678, -113.914830658849 51.175544075521, -113.915100341849 51.175747279451, -113.915370028651 51.175950482754, -113.915865031763 51.176262352223, -113.91642132053 51.17656026218, -113.916755159117 51.176704006364, -113.917088999781 51.176847748693, -113.917453484539 51.176982762181, -113.917817971429 51.177117773632, -113.918218697916 51.177228309215, -113.918619426323 51.177338842526, -113.919106492231 51.177435433894, -113.919593558744 51.177532024132, -113.920283878543 51.177626999841, -113.920773839042 51.177662334278, -113.921263800295 51.177697665764, -113.922043374306 51.177701688317, -113.922488884209 51.177680983875, -113.922934393716 51.177660276837, -113.923407795899 51.177608086156, -113.923881198447 51.177555892661, -113.924463240097 51.177468766707, -113.925045279558 51.177381636957, -113.925572554209 51.177298554327, -113.926099828399 51.177215468421, -113.926627099265 51.177132380135, -113.927154368238 51.177049289472, -113.927681636747 51.17696619733, -113.928208901934 51.176883101911, -113.928736166657 51.176800004114, -113.929263428057 51.176716903938, -113.929790687563 51.176633801384, -113.930317946605 51.176550697351, -113.930845202324 51.176467590041, -113.93137245615 51.176384480353, -113.931854209727 51.176318259193, -113.932335961926 51.176252036049, -113.933037678689 51.176171936725, -113.933650281359 51.176105782986, -113.934262882277 51.176039626936, -113.934649920946 51.176006592384, -113.935036959062 51.175973556551, -113.935356715544 51.175949929381), (-113.935356715544 51.175949929381, -113.9357540678 51.175918090684, -113.936152093937 51.175889779396, -113.936550716807 51.17586500266, -113.936949856412 51.175843764023, -113.93734943132 51.17582606883, -113.937749364391 51.175811919732, -113.938149575628 51.175801320278, -113.938549985036 51.175794271324, -113.938912760657 51.175794120598, -113.939275534846 51.175793968747, -113.939638310463 51.175793815771, -113.94000108608 51.175793661671, -113.940726635877 51.175793350095, -113.941089411489 51.17579319262, -113.941452187099 51.17579303402, -113.941814962707 51.175792874295, -113.942177738314 51.175792713446, -113.94254051249 51.17579255147, -113.942903288093 51.175792388371, -113.943266063695 51.175792224147, -113.943628839295 51.175792058798, -113.943991613464 51.175791892323, -113.944354389061 51.175791724724, -113.945079940249 51.175791386152, -113.94544271441 51.175791215178, -113.94580549 51.17579104308, -113.946168265588 51.175790869856, -113.946531041174 51.175790695508, -113.946893816758 51.175790520036, -113.94725659091 51.175790343437, -113.94761936649 51.175790165714, -113.947982142068 51.175789986867, -113.948707691789 51.175789625797, -113.949070467361 51.175789443575, -113.949433242931 51.175789260228, -113.949796018499 51.175789075756, -113.950158792634 51.175788890158, -113.950521568198 51.175788703437, -113.95088434376 51.17578851559, -113.951247119319 51.175788326619, -113.951609894876 51.175788136523, -113.952335444554 51.175787752955, -113.952698220104 51.175787559484, -113.953060995653 51.175787364889, -113.953423769768 51.175787169168, -113.953786545312 51.175786972322, -113.954149320853 51.175786774352, -113.954512096392 51.175786575257, -113.954874870498 51.175786375036, -113.955237646032 51.175786173691, -113.955600421563 51.175785971222, -113.955963197092 51.175785767627, -113.958942531411 51.175814121734), (-113.958942531411 51.175814121734, -113.959120387248 51.17580475849, -113.95969731101 51.175799291649, -113.960274234637 51.175793821963, -113.960915580243 51.175791355495, -113.961556925783 51.175788884613, -113.962198271256 51.175786411113, -113.962839616663 51.1757839332, -113.963316400357 51.175783076836, -113.963793184034 51.175782218529, -113.964269969125 51.17578135828, -113.964746752768 51.175780496088, -113.965174382655 51.175779263144, -113.965602011089 51.175778028637, -113.96602964093 51.175776793466, -113.96645726932 51.175775555832, -113.966884899117 51.175774317535, -113.967312528893 51.175773076776, -113.967740157215 51.175771835353, -113.968167786946 51.175770591468, -113.968556658178 51.175771264763, -113.968945527992 51.175771935866, -113.969334399248 51.175772606576, -113.969436938822 51.175772783533, -113.969466108565 51.1757728334, -113.969632289005 51.175773119369, -113.969723270516 51.175773275994, -113.970112141795 51.17577394322, -113.970501013087 51.175774610053, -113.970889884389 51.175775275593, -113.971278754274 51.175775938941, -113.9716676256 51.175776601896, -113.972056496938 51.175777263559, -113.972445368288 51.17577792303, -113.972834239649 51.175778582107, -113.973223109592 51.175779239892, -113.973611980976 51.175779896384, -113.974271653664 51.175782882204, -113.974931325009 51.175785865203), (-113.974931325009 51.175785865203, -113.97534728257 51.175786572968, -113.975763238715 51.175787278356, -113.976179196303 51.175787983164, -113.976595152474 51.175788686492, -113.977011110089 51.175789388343, -113.977427067716 51.175790087815, -113.977843023927 51.175790786707, -113.97825898158 51.175791484121, -113.978674937817 51.175792179157, -113.979090895496 51.175792873612, -113.979506853189 51.17579356659, -113.979922809464 51.175794257189, -113.980338767182 51.175794947208, -113.980754723483 51.175795635748, -113.981170681226 51.17579632281, -113.981586638983 51.175797007494, -113.982002595322 51.175797691598, -113.982418553104 51.175798374223, -113.982834509468 51.17579905447, -113.983250467275 51.175799734138), (-113.983250467275 51.175799734138, -113.983623317922 51.175799296992, -113.983996167133 51.175798858659, -113.984369017766 51.175798419137, -113.984741868393 51.175797978427, -113.985292133178 51.175802028561, -113.98584239663 51.175806076106, -113.986392687886 51.175808300687, -113.986942979196 51.17581052268, -113.987493281063 51.175810920806, -113.988043582939 51.175811317244, -113.988593879554 51.175809890712, -113.989144177566 51.175808460693, -113.989694455928 51.175805208603, -113.990244732783 51.175801953026, -113.990794975601 51.175796874479, -113.991345218299 51.175791794242, -113.991895411141 51.175784890135, -113.992445603819 51.175777983441, -113.992995729394 51.175769254675, -113.993545856192 51.175760523322, -113.9941454277 51.175746891673, -113.994744998854 51.175733256952, -113.99534357538 51.175723146611, -113.995734333569 51.175716545216, -113.995942151645 51.175713034106, -113.996540901697 51.175708569363, -113.997139651634 51.175704102454, -113.997738441221 51.175705285099, -113.998337229408 51.17570646468, -113.998993165624 51.175716712137, -113.99964910213 51.175726956816, -114.000305038927 51.175737197818, -114.000488874038 51.175740067552, -114.000718626844 51.175743653189, -114.000960976014 51.175747435142, -114.001210399935 51.175751358556, -114.001308557792 51.175752902799, -114.001339083303 51.175753382495, -114.001717190689 51.175759329524, -114.001765332202 51.175760086625, -114.002095298172 51.175765274433, -114.002473407183 51.175771219019, -114.00285151486 51.175777161483, -114.003229622635 51.175783103625, -114.003607730507 51.175789043646, -114.003985838476 51.175794983343, -114.004363947972 51.17580092092, -114.004742056135 51.175806858174, -114.005378854735 51.175817389733, -114.006015653625 51.175827917826, -114.006455457378 51.175837493406, -114.006895261313 51.175847067333, -114.007432801389 51.175864313195, -114.008107782068 51.175897864938, -114.008782765157 51.175931413685, -114.009168314927 51.175961797486, -114.009553865203 51.175992180016), (-114.009553865203 51.175992180016, -114.009919149825 51.176002159459, -114.010284434604 51.176012137761, -114.010649718111 51.176022114024, -114.011015003205 51.176032090045, -114.011380288457 51.176042064926, -114.011745573866 51.176052038666, -114.012110858003 51.176062010367, -114.012476143727 51.176071981827, -114.012841429608 51.176081952145, -114.013206715647 51.176091921323, -114.013572000413 51.176101888462, -114.013937286766 51.176111855359, -114.014302573277 51.176121821116, -114.014667859945 51.176131785732, -114.01503314534 51.176141748309, -114.015398432322 51.176151710644), (-114.015398432322 51.176151710644, -114.016022750138 51.176161613278, -114.016774890585 51.176172186518), (-114.016774890585 51.176172186518, -114.017096931822 51.176171311965, -114.017491825816 51.176170238674, -114.017886719791 51.176169164051, -114.018281613748 51.176168088994, -114.018676507686 51.176167011704, -114.019071401605 51.176165933082, -114.019466295505 51.176164853127, -114.019765254635 51.176164034399), (-114.019765254635 51.176164034399, -114.020250941551 51.176158420981, -114.020640692196 51.176153069724, -114.021043687452 51.176145512351, -114.021043778979 51.176145510537, -114.021545196333 51.17613585891), (-114.021545196333 51.17613585891, -114.023001204188 51.176104896862, -114.023883044527 51.176081297951, -114.024566162114 51.17606944495, -114.025212015008 51.176049789488, -114.026000702352 51.176030098806, -114.026963268214 51.175999626667, -114.027925832803 51.175969147509, -114.02888839612 51.175938660431, -114.029850958164 51.175908165434, -114.030496806545 51.1758884799, -114.030816623041 51.175876685437, -114.030996718927 51.175876637861, -114.031328961063 51.175870693587, -114.031679833076 51.175864743325, -114.032036915861 51.175860742837, -114.032878387751 51.175846846206, -114.03364223313 51.175836870022, -114.034176305028 51.175828907825, -114.035058143284 51.175818887871, -114.035818884402 51.175808898406, -114.03601139741 51.175804935157, -114.036334328833 51.175806787839, -114.03655168277 51.17580476761, -114.037449054559 51.175804483816, -114.038346426335 51.175804193138, -114.039360239848 51.175803856462, -114.040374051911 51.175803511002, -114.040693877021 51.175803400197, -114.040979538657 51.175795493082, -114.041246568835 51.175787591839, -114.041395610499 51.175783635946, -114.041653326289 51.17577573707, -114.041926565394 51.175765880438, -114.042178068287 51.175756031005, -114.042417152084 51.175746184636, -114.042653127802 51.175734388183, -114.042997771856 51.175712791434, -114.043510082566 51.1756813724, -114.044068958675 51.175640174558, -114.044512951279 51.175604873591, -114.04485758592 51.175575464857, -114.045357458155 51.175528427686, -114.046068441287 51.175450075809, -114.046496889775 51.175399158616, -114.046813565832 51.175358043665, -114.047173706256 51.175313007084, -114.04747795682 51.17526799119, -114.047859821632 51.175213183744, -114.048269624043 51.175150557018, -114.048521089451 51.175109464329, -114.048788076658 51.175064460474, -114.049368608208 51.174960769905, -114.050178868794 51.174817940206, -114.050793541288 51.174706420505, -114.051333706769 51.174608592578, -114.052069448624 51.174479445639, -114.052718260857 51.174362043938, -114.054136941753 51.174103753346, -114.055018567545 51.173945243137, -114.055220346794 51.173908062649, -114.055568029035 51.173847391273, -114.055987114696 51.173776924778, -114.056263405512 51.173735803553, -114.056533491392 51.173698588829, -114.05671975203 51.173669220662, -114.056921541693 51.173643748799, -114.057123325329 51.173612420807, -114.057353057803 51.173584982925, -114.057582791004 51.173559496219, -114.057887036979 51.173528116435, -114.058088825381 51.173502642558, -114.05841790778 51.173469297431, -114.058765627172 51.17344374853, -114.059133141307 51.173414251176), (-114.059133141307 51.173414251176, -114.059181645747 51.173410357554, -114.059597668752 51.173380869252, -114.059954713568 51.173363120376, -114.060299334362 51.173343424287, -114.060566340795 51.173329624071, -114.060808515245 51.173321691039, -114.061053795341 51.173315707513, -114.061376699947 51.173309682776, -114.061631296513 51.17330369405, -114.061848638961 51.173301626828, -114.0624758358 51.173303246109, -114.062857754131 51.173312800578, -114.063183779065 51.173318479845, -114.06346634098 51.173328086843, -114.063761330854 51.17334354127, -114.064009732906 51.173349260513, -114.064379251183 51.173372479994, -114.064723931696 51.173395712052, -114.065028241676 51.173415061385, -114.065407078952 51.173440224067, -114.066333133283 51.173510176144, -114.067259190409 51.173580120889, -114.067523159417 51.173602027359, -114.067787128675 51.173623933234, -114.06838219381 51.173665785614, -114.068772608813 51.17369324184, -114.068868019443 51.173699951241))"
N/A,2018/10/31,,70,STONEY TR SE RAMP,"MULTILINESTRING ((-113.920957597958 50.95486199192, -113.921112277347 50.95172462248, -113.921198501316 50.95139810805, -113.921372670338 50.951092723256, -113.921582015078 50.95083319851, -113.921907861747 50.950542296639))"
E/W,2018/10/30,,80,GLENMORE TR SW,"MULTILINESTRING ((-114.233868988224 51.019954329927, -114.233974392575 51.019903962212, -114.234321262797 51.01973030907))"
N,,0.9,60,11 ST SE,"MULTILINESTRING ((-114.044783583109 50.980498680018, -114.04478359827 50.980514440988, -114.044782160586 50.980599502439, -114.044777663888 50.980686000737, -114.044774260667 50.980723410533, -114.044765572147 50.980806262362, -114.044761026997 50.980840940585, -114.044756471546 50.980872317744, -114.044749650626 50.980917329751, -114.044741672673 50.980964636405, -114.044727988246 50.981028196163, -114.044719239941 50.981069710961, -114.044693382402 50.981170638913, -114.044686150068 50.981199602423, -114.044672450089 50.981244138795, -114.044662926755 50.981275035094, -114.044631709307 50.981366314493, -114.044617228763 50.981407831471, -114.044602764073 50.981445113331, -114.044584463905 50.981489528286, -114.044561998979 50.981542265815, -114.044545602983 50.981579438728, -114.044522380632 50.981629511052, -114.044505600831 50.98166451306, -114.044476651288 50.981721331727, -114.044454145007 50.981763816346, -114.04441493165 50.981834120053, -114.044386699324 50.981883123563, -114.044349751977 50.981941896028, -114.044305564574 50.982011528246, -114.044275418121 50.982056188568, -114.044234233441 50.982114721673, -114.044165230128 50.98220704547, -114.044122892791 50.982260808067, -114.044089224188 50.982302575843), (-114.044089224188 50.982302575843, -114.044063130982 50.982334233486, -114.044023430826 50.982380345604, -114.043997471939 50.982409557948, -114.043954762029 50.982456767935, -114.04392727585 50.982486946345, -114.043884193913 50.982532454671, -114.043857845296 50.982559346854), (-114.043857845296 50.982559346854, -114.043828969307 50.982588322923, -114.043794226922 50.982623089734, -114.043771235954 50.98264499398), (-114.043771235954 50.98264499398, -114.043700460436 50.982711243157, -114.043619513435 50.982783676596, -114.043526340863 50.982861906681, -114.043461594998 50.98291638398, -114.043378180916 50.982984565079, -114.043279012875 50.983062451981, -114.043207223747 50.983121367327, -114.043132375307 50.98318028286, -114.043057907625 50.983239947056), (-114.043057907625 50.983239947056, -114.042980180873 50.98330231025, -114.042854927884 50.983403721076, -114.042743418685 50.983490645922, -114.042639549494 50.983575637755, -114.042558893342 50.98364095849, -114.04247487938 50.983708565603, -114.042395448106 50.983771343454, -114.042320598472 50.983831224866, -114.042250446309 50.983887123835), (-114.042250446309 50.983887123835, -114.042168474254 50.983952134623, -114.042085987883 50.984018775394, -114.042015720773 50.984075758435, -114.041946397424 50.984130810978), (-114.041946397424 50.984130810978, -114.041917337571 50.984154125738, -114.041884910517 50.984180219554, -114.041853465291 50.984205381663, -114.041825410008 50.984227774582), (-114.041825410008 50.984227774582, -114.041756587584 50.984282887963, -114.041682889149 50.98434191092, -114.041607223375 50.984402176026, -114.04155349389 50.98444569782), (-114.04155349389 50.98444569782, -114.041156371364 50.98476609917, -114.040759241947 50.985086499153, -114.040553453291 50.985292951993, -114.040347662809 50.985499404465, -114.040248763665 50.985636782429), (-114.040248763665 50.985636782429, -114.040089629734 50.985842438932, -114.040065226643 50.985879002627, -114.040051103958 50.985902484396, -114.04000982758 50.985972175073, -114.039977966787 50.986025168409, -114.039952367007 50.986074862127, -114.039915475985 50.98614494772, -114.039891904217 50.986194626347, -114.039879199147 50.986222190788, -114.03985606947 50.986274284822, -114.039837524319 50.98631787741, -114.039805712802 50.986399016918, -114.039787991843 50.986447178743, -114.039780938853 50.986468871792, -114.039756595759 50.986542994881, -114.039739275839 50.986602245508, -114.039720561756 50.986673475546, -114.03971009845 50.986719604987, -114.039696659344 50.986781911726, -114.03969163744 50.98680878671), (-114.03969163744 50.98680878671, -114.039682255915 50.986860872437, -114.039672435745 50.986926393602, -114.039665240786 50.986983871579, -114.039658080868 50.987059091857, -114.039651954767 50.987114017258))"
